date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
1/13/2020,US_PA_42101,0,,,,,,,,
1/14/2020,US_PA_42101,2.26,,,,,,,,
1/15/2020,US_PA_42101,4.97,,,,,,,,
1/16/2020,US_PA_42101,7.98,,,,,,,,
1/17/2020,US_PA_42101,29.11,,,,,,,,
1/18/2020,US_PA_42101,3.67,,,,,,,,
1/19/2020,US_PA_42101,-7.42,,,,,,,,
1/20/2020,US_PA_42101,-5.14,,,,,,,,
1/21/2020,US_PA_42101,-2.11,,,,,,,,
1/22/2020,US_PA_42101,2.29,,,,,,,,
1/23/2020,US_PA_42101,3.14,,,,,,,,
1/24/2020,US_PA_42101,26.12,,,,,,,,
1/25/2020,US_PA_42101,18.16,,,,,,,,
1/26/2020,US_PA_42101,-13.34,,,,,,,,
1/27/2020,US_PA_42101,-8.61,,,,,,,,
1/28/2020,US_PA_42101,-3.36,,,,,,,,
1/29/2020,US_PA_42101,-2.55,,,,,,,,
1/30/2020,US_PA_42101,2.26,,,,,,,,
1/31/2020,US_PA_42101,24.32,,,,,,,,
2/1/2020,US_PA_42101,22.07,,,,,,,,
2/2/2020,US_PA_42101,-16.43,,,,,,,,
2/3/2020,US_PA_42101,-1.87,,,,,,,,
2/4/2020,US_PA_42101,-3.17,,,,,,,,
2/5/2020,US_PA_42101,-1.02,,,,,,,,
2/6/2020,US_PA_42101,3.41,,,,,,,,
2/7/2020,US_PA_42101,21.43,,,,,,,,
2/8/2020,US_PA_42101,22.91,,,,,,,,
2/9/2020,US_PA_42101,-5.1,,,,,,,,
2/10/2020,US_PA_42101,-0.41,,,,,,,,
2/11/2020,US_PA_42101,1.57,,,,,,,,
2/12/2020,US_PA_42101,3.31,,,,,,,,
2/13/2020,US_PA_42101,11.78,,,,,,,,
2/14/2020,US_PA_42101,42.95,,,,,,,,
2/15/2020,US_PA_42101,34.12,,,6,0,26,1,3,1
2/16/2020,US_PA_42101,4.8,,,5,2,38,0,0,0
2/17/2020,US_PA_42101,3.14,,,2,-3,35,-16,-25,6
2/18/2020,US_PA_42101,3.31,,,4,0,40,4,2,0
2/19/2020,US_PA_42101,4.23,,,0,-1,47,2,2,0
2/20/2020,US_PA_42101,8.51,,,2,1,43,1,2,0
2/21/2020,US_PA_42101,33.88,,,-1,-2,15,2,3,1
2/22/2020,US_PA_42101,36.37,,,14,3,50,5,7,-1
2/23/2020,US_PA_42101,-3.16,,,5,3,55,3,3,-1
2/24/2020,US_PA_42101,1.19,,,4,1,32,2,2,0
2/25/2020,US_PA_42101,3.5,,,3,-2,14,2,2,1
2/26/2020,US_PA_42101,7.87,,,9,5,42,6,2,-1
2/27/2020,US_PA_42101,13.95,,,8,4,34,2,1,0
2/28/2020,US_PA_42101,38.67,,,7,3,21,5,2,0
2/29/2020,US_PA_42101,36.31,,,12,4,11,4,5,-1
3/1/2020,US_PA_42101,0.17,,,10,8,13,4,2,-1
3/2/2020,US_PA_42101,5.44,,,10,9,23,2,1,0
3/3/2020,US_PA_42101,7.29,,,11,10,6,4,1,-1
3/4/2020,US_PA_42101,10.38,,,13,12,43,4,1,-1
3/5/2020,US_PA_42101,13.54,,,11,12,37,3,1,-1
3/6/2020,US_PA_42101,35.11,,,-3,-2,-10,-3,0,2
3/7/2020,US_PA_42101,39.58,,,14,7,28,3,5,-1
3/8/2020,US_PA_42101,3.21,,,11,8,64,4,2,-1
3/9/2020,US_PA_42101,10.67,,,10,10,72,-1,0,-1
3/10/2020,US_PA_42101,4.84,,,8,10,30,-2,0,0
3/11/2020,US_PA_42101,5.72,,,7,12,53,-1,-1,0
3/12/2020,US_PA_42101,1.25,,,3,22,37,-8,-3,1
3/13/2020,US_PA_42101,14.36,,,-3,21,23,-14,-11,5
3/14/2020,US_PA_42101,6.08,,,-5,13,25,-13,-1,3
3/15/2020,US_PA_42101,-25.73,,,-13,6,18,-20,-9,4
3/16/2020,US_PA_42101,-24.96,,,-13,12,-21,-33,-28,10
3/17/2020,US_PA_42101,-34.8,,,-30,0,-29,-40,-39,15
3/18/2020,US_PA_42101,-35.28,,,-35,-5,0,-43,-43,16
3/19/2020,US_PA_42101,-38.42,,,-40,-6,-25,-49,-45,18
3/20/2020,US_PA_42101,-28,,,-40,-2,-7,-47,-46,19
3/21/2020,US_PA_42101,-39.64,,,-46,-9,-11,-43,-32,13
3/22/2020,US_PA_42101,-55.03,,,-51,-17,-39,-51,-36,11
3/23/2020,US_PA_42101,-56.68,,,-59,-33,-72,-65,-57,24
3/24/2020,US_PA_42101,-51.09,,,-49,-18,-32,-58,-57,22
3/25/2020,US_PA_42101,-53.56,,,-55,-27,-56,-62,-58,24
