date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200306,PA,2,,,,,,,,,,,,76fdd2be8ba3baed7c28d19260169f85c79cba55,2020-03-06T21:00:00Z,,,2,2,2,42,,,,,
20200307,PA,4,,,,,,,,,,,,358ccf1927a2d3976020a2cc1ca6669f5987023b,2020-03-07T21:00:00Z,,,4,4,4,42,0,0,0,2,2
20200308,PA,6,,,,,,,,,,,,024f7678b7ba386ef3db12d5d2cff80b0a096097,2020-03-08T20:00:00Z,,,6,6,6,42,0,0,0,2,2
20200309,PA,10,,,,,,,,,,,,c43be13c78ee5621148a56dafd11a999207463e6,2020-03-09T20:00:00Z,,,10,10,10,42,0,0,0,4,4
20200310,PA,12,,,,,,,,,,,,423c1493e2ea8ce4e24b87a9ded7c0b1301b6894,2020-03-10T20:00:00Z,,,12,12,12,42,0,0,0,2,2
20200311,PA,16,88,54,,,,,,,,,,8893339ae1005d36d38129a2266059253613f391,2020-03-11T20:00:00Z,,,158,104,104,42,0,0,88,4,92
20200312,PA,22,116,81,,,,,,,,,3/12/2020 13:45,bc7d0a0a3f224b9e4a683d273a282365a3b98209,2020-03-12T20:00:00Z,,,219,138,138,42,0,0,28,6,34
20200313,PA,41,140,130,,,,,,,,,3/13/2020 15:30,164c574777046319ae784f5911ab6c22d535871f,2020-03-13T20:00:00Z,,,311,181,181,42,0,0,24,19,43
20200314,PA,47,205,150,,,,,,,,,3/14/2020 14:00,4409f1122e37791e0ddf82f8a37a71209d983de7,2020-03-14T20:00:00Z,,,402,252,252,42,0,0,65,6,71
20200315,PA,63,205,183,,,,,,,,,3/15/2020 12:00,7d9c48485dd3e4b32a56eb813b40ff63411ab413,2020-03-15T20:00:00Z,,,451,268,268,42,0,0,0,16,16
20200316,PA,76,670,,,,,,,,,,3/16/2020 15:28,adca974944be7f5899add3808d0e22efb6f74311,2020-03-16T20:00:00Z,,,746,746,746,42,0,0,465,13,478
20200317,PA,96,879,,,,,,,,,,3/17/2020 12:45,c155e67b04c8c437da6378913036a5e7bb1ef156,2020-03-17T20:00:00Z,,,975,975,975,42,0,0,209,20,229
20200318,PA,133,1187,,,,,,,,,,3/18/2020 12:00,28d824731900e4a1a9f93474a73bb703ffc8eefc,2020-03-18T20:00:00Z,1,,1320,1320,1320,42,1,0,308,37,345
20200319,PA,185,1608,,,,,,,,,,3/19/2020 12:00,dd0b0247d5b01b9fc86e2fee23f3b59e4151e9ea,2020-03-19T20:00:00Z,1,,1793,1793,1793,42,0,0,421,52,473
20200320,PA,268,2574,,,,,,,,,,3/20/2020 12:00,2c9d0ab0ac8469adb5c067f7da7778d4d826f62c,2020-03-20T20:00:00Z,1,,2842,2842,2842,42,0,0,966,83,1049
20200321,PA,371,3766,,,,,,,,,,3/21/2020 12:00,219ee475656cef1b36b2d3f77506d5d9dda4aa62,2020-03-21T20:00:00Z,2,,4137,4137,4137,42,1,0,1192,103,1295
20200322,PA,479,4964,,,,,,,,,,3/22/2020 12:00,263e8d82c415eb7fc0ab8198d2a3b1157b8dd454,2020-03-22T20:00:00Z,2,,5443,5443,5443,42,0,0,1198,108,1306
20200323,PA,644,6595,,,,,,,,,A,3/23/2020 15:00,a0e94f34ae6c0853de6b1b1800c12cd01950c2c8,2020-03-23T20:00:00Z,6,,7239,7239,7239,42,4,0,1631,165,1796
20200324,PA,851,8643,,,,,,,,,A,3/24/2020 12:00,c4700dd9300214cbb3bdb952e0b52c3bee1a8fa5,2020-03-24T20:00:00Z,7,,9494,9494,9494,42,1,0,2048,207,2255
20200325,PA,1127,11193,,,,,,,,,A,3/25/2020 12:00,640fcb2d93bda2a7ddbb8adccd66d8a0d3457faa,2020-03-25T20:00:00Z,11,,12320,12320,12320,42,4,0,2550,276,2826
20200326,PA,1687,16441,,,,,,,,,A,3/26/2020 12:00,9e01f2de1cc50ad13f3477fe1e4efe1e685d7e03,2020-03-26T20:00:00Z,16,,18128,18128,18128,42,5,0,5248,560,5808
20200327,PA,2218,21016,,,241,,,,,,A,3/27/2020 12:00,0a5a43609288cd2b196423b8b07edbdac1b7060a,2020-03-27T20:00:00Z,22,241,23234,23234,23234,42,6,241,4575,531,5106
