date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200305,TX,1,,,,,,,,,,,,28da5dda553a784e6fc042af8ae84b8a273e51b0,2020-03-05T21:00:00Z,,,1,1,1,48,0,0,0,0,0
20200304,TX,1,,,,,,,,,,,,475388a7b62cf53115b57ee3b3fef9f25be7d22a,2020-03-04T21:00:00Z,,,1,1,1,48,,,,,
20200306,TX,5,,,,,,,,,,,,ed908d3a1d66ac92c0d1c0ef6c35fa2240318f4c,2020-03-06T21:00:00Z,,,5,5,5,48,0,0,0,4,4
20200308,TX,8,,,,,,,,,,,,7b7ff681a1cb8859cd033406312dd877625949cc,2020-03-08T20:00:00Z,,,8,8,8,48,0,0,0,0,0
20200307,TX,8,,,,,,,,,,,,6f1d6b5cca3d79a52466dd2371baee6aa137ca72,2020-03-07T21:00:00Z,,,8,8,8,48,0,0,0,3,3
20200309,TX,12,,,,,,,,,,,,ce1a7b6da123358ddb3f0468becb807dcd2e379e,2020-03-09T20:00:00Z,,,12,12,12,48,0,0,0,4,4
20200310,TX,13,,,,,,,,,,,,8f2767e624ec9bd082250395a3bae8433810be92,2020-03-10T20:00:00Z,,,13,13,13,48,0,0,0,1,1
20200311,TX,21,,,,,,,,,,,,cdd57a5e5141b6e094cc93557f67f00a2cfc8922,2020-03-11T20:00:00Z,,,21,21,21,48,0,0,0,8,8
20200312,TX,23,,,,,,,,,,,3/12/2020 11:00,d38ecd87207406a13bc1f4b675e5c78885081682,2020-03-12T20:00:00Z,,,23,23,23,48,0,0,0,2,2
20200313,TX,39,,,,,,,,,,,3/13/2020 0:00,8587599385560858292b40eea5f804187e8f8800,2020-03-13T20:00:00Z,,,39,39,39,48,0,0,0,16,16
20200314,TX,51,,,,,,,,,,,3/14/2020 13:00,56ce5a6747c196b918e014253fdfc34523799baf,2020-03-14T20:00:00Z,,,51,51,51,48,0,0,0,12,12
20200315,TX,56,,,,,,,,,,,3/15/2020 13:00,381cd8bb00ec3e8a158b395952ee4606b6d371c6,2020-03-15T20:00:00Z,,,56,56,56,48,0,0,0,5,5
20200316,TX,57,,,,,,,,,,,3/16/2020 15:21,61002af3ab1ba6971324f11f1589de52dbd3af61,2020-03-16T20:00:00Z,,,57,57,57,48,0,0,0,1,1
20200317,TX,64,1204,,,,,,,,,,3/17/2020 13:00,338691daf793e8d98f338ea86b6a7dba69a84353,2020-03-17T20:00:00Z,1,,1268,1268,1268,48,1,0,1204,7,1211
20200318,TX,83,1824,,,,,,,,,,3/18/2020 13:00,06be026230031b92469361a920e8765decf48742,2020-03-18T20:00:00Z,2,,1907,1907,1907,48,1,0,620,19,639
20200319,TX,143,2212,,,,,,,,,,3/19/2020 13:00,efc3d4edcff2f658e420c3ca4361a14b6436e9da,2020-03-19T20:00:00Z,3,,2355,2355,2355,48,1,0,388,60,448
20200320,TX,194,5083,,,,,,,,,,3/20/2020 13:00,23bf3cf557b06275baeec7fb3da8fbce4009e33a,2020-03-20T20:00:00Z,5,,5277,5277,5277,48,2,0,2871,51,2922
20200321,TX,304,6218,,,,,,,,,,3/21/2020 13:00,8e1276b48eda51dc0495f80dd6b663c52feeb0fe,2020-03-21T20:00:00Z,5,,6522,6522,6522,48,0,0,1135,110,1245
20200322,TX,334,8422,,,,,,,,,,3/21/2020 21:00,8156ddffdc59ddaf52d4bcebb89c0f5f34ef7445,2020-03-22T20:00:00Z,5,,8756,8756,8756,48,0,0,2204,30,2234
20200323,TX,352,9703,,,,,,,,,A,3/23/2020 13:00,07e9dee831230ca7dc26bb043584140a45d7e5aa,2020-03-23T20:00:00Z,8,,10055,10055,10055,48,3,0,1281,18,1299
20200324,TX,410,10757,,,,,,,,,A,3/23/2020 21:00,894d8614af5c592964d2a9e576a4231a2583a29d,2020-03-24T20:00:00Z,9,,11167,11167,11167,48,1,0,1054,58,1112
20200325,TX,974,12520,,,,,,,,,A,3/25/2020 12:30,58e98207985c7f64fa0cbd333ac2014f4ef5375f,2020-03-25T20:00:00Z,12,,13494,13494,13494,48,3,0,1763,564,2327
20200326,TX,1396,20028,,,,,,,,,A,3/26/2020 13:00,8d05dc79f19635cc610e7fd2ddc4788cd14b74da,2020-03-26T20:00:00Z,18,,21424,21424,21424,48,6,0,7508,422,7930
20200327,TX,1731,21935,,,,,,,,,A,3/27/2020 13:00,2b18573393e9a459979c059753837f3f11e28995,2020-03-27T20:00:00Z,23,,23666,23666,23666,48,5,0,1907,335,2242
20200328,TX,2052,23208,,,,,,,,,A,3/28/2020 12:45,1731582d2f3336e58d58889c13bd45c05149c515,2020-03-28T20:00:00Z,27,,25260,25260,25260,48,4,0,1273,321,1594
20200329,TX,2552,23208,,,,,,,,,A,3/29/2020 13:45,67244c50e7a878fd67c221dc8ab7fe1d4e50835c,2020-03-29T20:00:00Z,34,,25760,25760,25760,48,7,0,0,500,500
20200330,TX,2877,33003,,,,,,,,38,A,3/30/2020 12:45,c921c88eb1bf2827b20f8a533ec778d959a89d1a,2020-03-30T20:00:00Z,34,,35880,35880,35880,48,0,0,9795,325,10120
20200331,TX,3266,39726,,196,,,,,,38,A,3/31/2020 13:45,35dc801ba2cef6824b0c9a97c5a2f57f3bb52804,2020-03-31T20:00:00Z,41,,42992,42992,42992,48,7,0,6723,389,7112
20200401,TX,3997,43860,,196,,,,,,38,A,3/31/2020 21:00,b46e747cecd02ee1955bde8adb6bfa7edc1a27f2,2020-04-01T20:00:00Z,58,,47857,47857,47857,48,17,0,4134,731,4865
20200402,TX,4669,46010,,196,,,,,,38,A,4/1/2020 21:00,f456c71263d60aed1ff80f3a4195def2693e258b,2020-04-02T20:00:00Z,70,,50679,50679,50679,48,12,0,2150,672,2822
20200403,TX,5330,50434,,196,,,,,,38,A,4/2/2020 21:00,f87fe9a1e7e04e6840c7f1e73155acf02fb15641,2020-04-03T20:00:00Z,90,,55764,55764,55764,48,20,0,4424,661,5085
20200404,TX,6110,57641,,196,,,,,,38,A,4/3/2020 21:00,711655dbce2d14b472a5a6d8a1585bc44df2b6d1,2020-04-04T20:00:00Z,105,,63751,63751,63751,48,15,0,7207,780,7987
20200405,TX,6812,64126,,827,,,,,,38,A,4/5/2020 13:00,0c7a1ac735749982cf8155115b0e1d0b5fc35cae,2020-04-05T20:00:00Z,127,,70938,70938,70938,48,22,0,6485,702,7187
20200406,TX,7276,78081,,1153,,,,,,38,A,4/5/2020 21:00,594cef2a8c6fcbc8eba602c7c5e33d868a55bbc7,2020-04-06T20:00:00Z,140,,85357,85357,85357,48,13,0,13955,464,14419
20200407,TX,8262,80387,,1252,,,,,,38,A,4/6/2020 21:00,ea5f7730a3c138578dc7704cf579f4b3df5638c3,2020-04-07T20:00:00Z,154,,88649,88649,88649,48,14,0,2306,986,3292
20200408,TX,9353,86905,,1491,,,,,,38,A,4/8/2020 14:21,aad63fb55e4795e27f30e717ac588682ff62d8bb,2020-04-08T20:00:00Z,177,,96258,96258,96258,48,23,0,6518,1091,7609
20200409,TX,10230,95904,,1439,,,,,,1101,A,4/9/2020 13:15,89970898529964095da7c8243a60c6e7a20f4f13,2020-04-09T20:00:00Z,199,,106134,106134,106134,48,22,0,8999,877,9876
20200410,TX,11671,104047,,1532,,,,,,1366,A,4/10/2020 13:00,fd65ec707cff94972adc4e59c019d25a7ef5767b,2020-04-10T20:00:00Z,226,,115718,115718,115718,48,27,0,8143,1441,9584
20200411,TX,12561,107972,,1514,,,,,,1617,A,4/11/2020 12:40,feb5a1f3f112cbb6be444af903cc4c79e5f1d40b,2020-04-11T20:00:00Z,254,,120533,120533,120533,48,28,0,3925,890,4815
20200412,TX,13484,111049,,1338,,,,,,2014,A,4/11/2020 21:00,03b826e537c619d0b4fa61cf3c61aa7543fa6dff,2020-04-12T20:00:00Z,271,,124533,124533,124533,48,17,0,3077,923,4000
20200413,TX,13906,119320,,1176,,,,,,2269,A,4/13/2020 12:45,dcb2598c2ad0880575ef06ebdcd1f2b97bfcdac0,2020-04-13T20:00:00Z,287,,133226,133226,133226,48,16,0,8271,422,8693
