date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
1/13/2020,US_CA_06085,0,,,,,,,,
1/14/2020,US_CA_06085,4.4,,,,,,,,
1/15/2020,US_CA_06085,6.11,,,,,,,,
1/16/2020,US_CA_06085,5.51,,,,,,,,
1/17/2020,US_CA_06085,20.76,,,,,,,,
1/18/2020,US_CA_06085,6.01,,,,,,,,
1/19/2020,US_CA_06085,-11.85,,,,,,,,
1/20/2020,US_CA_06085,-7.52,,,,,,,,
1/21/2020,US_CA_06085,4.74,,,,,,,,
1/22/2020,US_CA_06085,8.17,,,,,,,,
1/23/2020,US_CA_06085,9.5,,,,,,,,
1/24/2020,US_CA_06085,21.38,,,,,,,,
1/25/2020,US_CA_06085,3.34,,,,,,,,
1/26/2020,US_CA_06085,-21.09,,,,,,,,
1/27/2020,US_CA_06085,-1.57,,,,,,,,
1/28/2020,US_CA_06085,3.17,,,,,,,,
1/29/2020,US_CA_06085,4.79,,,,,,,,
1/30/2020,US_CA_06085,8.1,,,,,,,,
1/31/2020,US_CA_06085,19.61,,,,,,,,
2/1/2020,US_CA_06085,2.73,,,,,,,,
2/2/2020,US_CA_06085,-27.09,,,,,,,,
2/3/2020,US_CA_06085,-3.29,,,,,,,,
2/4/2020,US_CA_06085,1.75,,,,,,,,
2/5/2020,US_CA_06085,3.89,,,,,,,,
2/6/2020,US_CA_06085,9.36,,,,,,,,
2/7/2020,US_CA_06085,20.04,,,,,,,,
2/8/2020,US_CA_06085,7.21,,,,,,,,
2/9/2020,US_CA_06085,-17.14,,,,,,,,
2/10/2020,US_CA_06085,3.25,,,,,,,,
2/11/2020,US_CA_06085,7.92,,,,,,,,
2/12/2020,US_CA_06085,10.12,,,,,,,,
2/13/2020,US_CA_06085,20.92,,,,,,,,
2/14/2020,US_CA_06085,31.13,,,,,,,,
2/15/2020,US_CA_06085,7.36,,,-3,-3,18,0,-1,-1
2/16/2020,US_CA_06085,-12.79,,,-1,-4,22,-7,-1,-2
2/17/2020,US_CA_06085,-6.14,,,14,4,66,-21,-58,12
2/18/2020,US_CA_06085,5.72,,,-1,-3,19,4,-8,1
2/19/2020,US_CA_06085,6.33,,,-2,-3,12,0,-7,1
2/20/2020,US_CA_06085,9.08,,,0,-2,18,-1,-8,1
2/21/2020,US_CA_06085,21.19,,,-3,-5,2,-7,-7,2
2/22/2020,US_CA_06085,11.05,,,-3,-1,26,-7,3,-1
2/23/2020,US_CA_06085,-13.32,,,1,1,27,-4,4,-1
2/24/2020,US_CA_06085,6.08,,,0,1,13,-1,4,0
2/25/2020,US_CA_06085,10.96,,,2,2,24,0,4,0
2/26/2020,US_CA_06085,14.45,,,2,3,15,2,3,-1
2/27/2020,US_CA_06085,14.7,,,4,5,24,2,2,-1
2/28/2020,US_CA_06085,26.2,,,2,6,10,-4,4,0
2/29/2020,US_CA_06085,12.64,,,1,9,22,-4,4,0
3/1/2020,US_CA_06085,-15.8,,,1,6,17,-8,4,0
3/2/2020,US_CA_06085,2.35,,,2,9,16,-6,3,0
3/3/2020,US_CA_06085,10.84,,,6,7,54,-5,2,0
3/4/2020,US_CA_06085,6.81,,,-1,5,35,-7,2,1
3/5/2020,US_CA_06085,9.95,,,0,5,38,-9,0,1
3/6/2020,US_CA_06085,17.88,,,-4,5,18,-17,-5,4
3/7/2020,US_CA_06085,-0.23,,,-10,0,-17,-18,0,4
3/8/2020,US_CA_06085,-24.53,,,-8,-2,20,-19,0,2
3/9/2020,US_CA_06085,-8.68,,,-3,3,29,-24,-12,6
3/10/2020,US_CA_06085,-5.53,,,-3,6,30,-28,-16,7
3/11/2020,US_CA_06085,-7.08,,,-4,10,37,-32,-22,9
3/12/2020,US_CA_06085,-9.61,,,-4,16,42,-37,-27,11
3/13/2020,US_CA_06085,-7.42,,,-9,28,14,-41,-30,13
3/14/2020,US_CA_06085,-31.71,,,-27,11,-34,-36,-10,9
3/15/2020,US_CA_06085,-49.45,,,-31,1,-36,-42,-15,9
3/16/2020,US_CA_06085,-29.78,,,-8,49,-9,-51,-49,19
3/17/2020,US_CA_06085,-54.35,,,-47,-5,-14,-63,-69,30
3/18/2020,US_CA_06085,-57.18,,,-49,-12,-20,-66,-70,31
3/19/2020,US_CA_06085,-56.15,,,-48,-10,19,-67,-70,31
3/20/2020,US_CA_06085,-53.9,,,-52,-12,4,-69,-69,33
