date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
1/13/2020,US_NJ_34013,0,,,,,,,,
1/14/2020,US_NJ_34013,2.87,,,,,,,,
1/15/2020,US_NJ_34013,5.28,,,,,,,,
1/16/2020,US_NJ_34013,7.8,,,,,,,,
1/17/2020,US_NJ_34013,23.45,,,,,,,,
1/18/2020,US_NJ_34013,-8.87,,,,,,,,
1/19/2020,US_NJ_34013,-11.51,,,,,,,,
1/20/2020,US_NJ_34013,-3.52,,,,,,,,
1/21/2020,US_NJ_34013,3.54,,,,,,,,
1/22/2020,US_NJ_34013,3.9,,,,,,,,
1/23/2020,US_NJ_34013,6.76,,,,,,,,
1/24/2020,US_NJ_34013,20.29,,,,,,,,
1/25/2020,US_NJ_34013,10.57,,,,,,,,
1/26/2020,US_NJ_34013,-14.73,,,,,,,,
1/27/2020,US_NJ_34013,-5.05,,,,,,,,
1/28/2020,US_NJ_34013,-2.11,,,,,,,,
1/29/2020,US_NJ_34013,-0.45,,,,,,,,
1/30/2020,US_NJ_34013,4.13,,,,,,,,
1/31/2020,US_NJ_34013,16.89,,,,,,,,
2/1/2020,US_NJ_34013,10.76,,,,,,,,
2/2/2020,US_NJ_34013,-18.32,,,,,,,,
2/3/2020,US_NJ_34013,-3.91,,,,,,,,
2/4/2020,US_NJ_34013,0.69,,,,,,,,
2/5/2020,US_NJ_34013,-2.31,,,,,,,,
2/6/2020,US_NJ_34013,3.75,,,,,,,,
2/7/2020,US_NJ_34013,16.14,,,,,,,,
2/8/2020,US_NJ_34013,13.12,,,,,,,,
2/9/2020,US_NJ_34013,-10.74,,,,,,,,
2/10/2020,US_NJ_34013,-2.71,,,,,,,,
2/11/2020,US_NJ_34013,3.9,,,,,,,,
2/12/2020,US_NJ_34013,3.31,,,,,,,,
2/13/2020,US_NJ_34013,11.41,,,,,,,,
2/14/2020,US_NJ_34013,36.69,,,,,,,,
2/15/2020,US_NJ_34013,15.54,,,3,-4,-7,-2,-1,0
2/16/2020,US_NJ_34013,-7.79,,,3,-6,9,-2,0,0
2/17/2020,US_NJ_34013,0.05,,,6,-2,52,-17,-36,9
2/18/2020,US_NJ_34013,5.89,,,0,0,1,2,-1,1
2/19/2020,US_NJ_34013,7.52,,,1,-1,9,3,-1,0
2/20/2020,US_NJ_34013,10.31,,,2,-3,2,0,-1,1
2/21/2020,US_NJ_34013,22.9,,,-2,-3,-1,-1,1,2
2/22/2020,US_NJ_34013,23.48,,,8,1,46,2,4,-1
2/23/2020,US_NJ_34013,-3.97,,,6,0,102,2,2,-1
2/24/2020,US_NJ_34013,-0.26,,,2,0,50,0,4,0
2/25/2020,US_NJ_34013,3.33,,,-1,-2,-3,-2,3,1
2/26/2020,US_NJ_34013,6.71,,,2,0,-7,2,1,0
2/27/2020,US_NJ_34013,11.53,,,5,1,0,1,2,0
2/28/2020,US_NJ_34013,26.33,,,3,0,-4,1,3,0
2/29/2020,US_NJ_34013,23.4,,,8,-1,-2,1,3,-1
3/1/2020,US_NJ_34013,-6.11,,,10,2,19,2,2,-1
3/2/2020,US_NJ_34013,2.14,,,7,5,48,-2,4,-1
3/3/2020,US_NJ_34013,5.83,,,5,7,8,-3,3,0
3/4/2020,US_NJ_34013,9.21,,,10,7,28,0,3,-1
3/5/2020,US_NJ_34013,13.66,,,8,10,39,-3,2,-1
3/6/2020,US_NJ_34013,30.82,,,0,-1,-11,-5,3,1
3/7/2020,US_NJ_34013,24.92,,,11,5,33,-2,5,-1
3/8/2020,US_NJ_34013,-1.6,,,10,3,113,-6,2,-1
3/9/2020,US_NJ_34013,6.09,,,11,8,124,-11,2,0
3/10/2020,US_NJ_34013,4.25,,,9,10,38,-13,0,1
3/11/2020,US_NJ_34013,2.53,,,5,11,49,-13,-4,1
3/12/2020,US_NJ_34013,-3.76,,,3,24,13,-20,-4,2
