date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
1/13/2020,US_TX_48041,0,,,,,,,,
1/14/2020,US_TX_48041,-5.14,,,,,,,,
1/15/2020,US_TX_48041,-8.25,,,,,,,,
1/16/2020,US_TX_48041,-2.4,,,,,,,,
1/17/2020,US_TX_48041,18,,,,,,,,
1/18/2020,US_TX_48041,14.12,,,,,,,,
1/19/2020,US_TX_48041,-9.59,,,,,,,,
1/20/2020,US_TX_48041,-3.16,,,,,,,,
1/21/2020,US_TX_48041,-5.87,,,,,,,,
1/22/2020,US_TX_48041,-7.26,,,,,,,,
1/23/2020,US_TX_48041,1,,,,,,,,
1/24/2020,US_TX_48041,23.01,,,,,,,,
1/25/2020,US_TX_48041,23.5,,,,,,,,
1/26/2020,US_TX_48041,-9.01,,,,,,,,
1/27/2020,US_TX_48041,-11.31,,,,,,,,
1/28/2020,US_TX_48041,-11.02,,,,,,,,
1/29/2020,US_TX_48041,-9.75,,,,,,,,
1/30/2020,US_TX_48041,-4.87,,,,,,,,
1/31/2020,US_TX_48041,23.9,,,,,,,,
2/1/2020,US_TX_48041,14.69,,,,,,,,
2/2/2020,US_TX_48041,-15.07,,,,,,,,
2/3/2020,US_TX_48041,-15.74,,,,,,,,
2/4/2020,US_TX_48041,-12.11,,,,,,,,
2/5/2020,US_TX_48041,-14.93,,,,,,,,
2/6/2020,US_TX_48041,-5.08,,,,,,,,
2/7/2020,US_TX_48041,28.78,,,,,,,,
2/8/2020,US_TX_48041,32.29,,,,,,,,
2/9/2020,US_TX_48041,-7.72,,,,,,,,
2/10/2020,US_TX_48041,-16.32,,,,,,,,
2/11/2020,US_TX_48041,-10.75,,,,,,,,
2/12/2020,US_TX_48041,-6.89,,,,,,,,
2/13/2020,US_TX_48041,9.8,,,,,,,,
2/14/2020,US_TX_48041,38.79,,,,,,,,
2/15/2020,US_TX_48041,23.13,,,1,-1,19,,3,-1
2/16/2020,US_TX_48041,-5.15,,,3,-3,2,,2,-1
2/17/2020,US_TX_48041,-7.32,,,5,-8,13,,-10,3
2/18/2020,US_TX_48041,-7.96,,,-1,-7,-7,,-2,0
2/19/2020,US_TX_48041,-6.8,,,1,-6,-13,,2,1
2/20/2020,US_TX_48041,6.11,,,-1,-7,-9,,0,2
2/21/2020,US_TX_48041,31.39,,,3,1,-1,,4,0
2/22/2020,US_TX_48041,28.98,,,1,-3,34,,6,-1
2/23/2020,US_TX_48041,-8,,,-2,-7,-14,,4,0
2/24/2020,US_TX_48041,-13.24,,,2,-3,20,,4,-1
2/25/2020,US_TX_48041,-1.53,,,8,0,27,,3,-2
2/26/2020,US_TX_48041,-2.7,,,11,4,29,,3,-2
2/27/2020,US_TX_48041,8.87,,,10,4,58,,2,-1
2/28/2020,US_TX_48041,46.92,,,12,10,16,,5,-2
2/29/2020,US_TX_48041,35.6,,,8,3,56,,4,-3
3/1/2020,US_TX_48041,-1.76,,,10,6,10,,4,-2
